ID,Name,Elo
434,Indiana NW,391.6403061054346
435,Malone,384.2018834919031
436,Mayville St,391.8158257405153
437,NW Oklahoma St,392.3596938945654
438,Memphis,453.9320446846069
439,Corban,392.1841742594847
440,Thomas ME,391.8158257405153
441,Columbia Intl,376.352357380116
442,Hannibal-Lagr,391.631846603239
443,New Orleans,305.4358743580359
444,Pensacola Chr,392.0
445,Western St CO,384.5522368421575
446,Willamette,384.43057874721
447,WV Tech,392.3596938945654
448,Kentucky Chr,384.2161616561852
449,College of Faith,391.8158257405153
450,Johnson TN,384.1924342101463
451,UVA-Wise,384.1146836621164
452,Avila,384.3758151324387
453,IN S Bend,391.99152295793954
454,Missouri S&T,392.0
455,Notre Dame CA,392.1799356867292
456,Simpson CA,392.00847704206046
457,S Vermont,392.0
458,Hawaii Hilo,392.1757015035881
459,Colorado Chr,383.9875744351809
460,Walla Walla,376.8346903876388
461,S Virginia,392.3680559561936
462,Toccoa Falls,350.7393275746264
463,Hartwick,391.6403061054346
464,Long Island,364.779557890988
465,J&W NC,368.62831581987865
466,Fisk,376.059456820712
467,Brescia,369.2775298299997
468,Bluefield VA,383.7758537392239
469,Pacific Union,362.1539666911388
470,Bob Jones,376.37667804734366
471,Palm Beach Atl,391.8159232831798
472,Eckerd,384.4462924777528
473,VA-Lynchburg,384.16925592253057
474,Old Westbury,391.631846603239
475,Keystone,391.631846603239
476,FL Memorial,392.3638241133692
477,Jarvis Chr,375.7968671174037
478,Transylvania,391.8117867363796
479,Southern N.O.,384.1838882506377
480,Oakwood,374.9140524751093
481,Ohio Mid-Western,391.8284376280009
482,Cin Clermont,384.2332840107836
483,The Master's,391.6403061054346
484,Trinity Chr,391.8325769446556
485,TX A&M K'ville,392.368153396761
486,Johnson FL,392.0
487,Thomas Aquinas,385.0623672269773
488,Miles,383.54014993782687
489,Hood,391.6275197770587
490,St Katherine,344.3282354457379
491,Merchant Marine,391.8075484760201
492,Catawba,377.016153538308
493,Newman,392.363921505828
494,Nichols,392.36805600902585
495,Chadron St,391.8326743495852
496,Clayton St,392.5476238702199
497,Chaminade,351.4882165468084
498,Dillard,359.0015319475945
499,Texas A&M Intl,392.5306631190121
500,St Xavier IL,391.4650957905235
501,Peace,392.34720823886187
502,Mt Ida,392.2000515482963
503,AK Anchorage,392.0002896356304
504,PSU-Harrisburg,391.5012968360823
505,Wayne St NE,383.18010958361566
506,Emerson,384.7526074609022
507,Dallas Chr,391.8199690120624
508,Greenville,391.64461577742816
509,Wm Jewell,391.6247007808871
510,Univ of Southwest,392.1678046926017
511,Warren Wilson,368.8620904786894
512,Brevard,391.8362384379047
513,Concordia SP,391.6434573017824
514,Missouri Val,391.81188870414513
515,Olivet Naz,391.8404785723639
516,Gwynedd-Mercy,391.9960597734522
517,Langston,383.5224346489484
518,Howard Payne,356.42193205644645
519,PSU Mont Alto,391.5015450585733
520,Fort Valley St,376.2348365203409
521,J&W RI,391.4690842793302
522,Ave Maria,368.55184092970063
523,Goldey Beacom,391.302088461284
524,Pac Lutheran,391.8244885379377
525,MN Duluth,392.5792857266569
526,Marygrove,377.4206601620274
527,MT Western,391.2860434991139
528,Spring Hill,367.0506345795567
529,St Andrew's,360.98383755102174
530,Mid-Atlantic Chr,391.676599277005
531,Bethel TN,391.8557908496351
532,TX Lutheran,392.3517092270743
533,Schreiner,376.00979035973495
534,CSU East Bay,384.30745673181474
535,S Dakota Tech,391.3303077483334
536,Florida Tech,374.1217948608413
537,St Edward's,376.0160515750047
538,Univ Sciences,407.6889566070936
539,Mid Georgia,391.4995191492411
540,Crowley's Ridge,376.2969025295067
541,Wheelock,384.4146621110318
542,Loyola NO,391.3140463943936
543,Menlo,376.81997594305096
544,MT-Great Falls,391.8287522894189
545,Thomas GA,376.2756746729153
546,Vanguard,383.1643367437658
547,Belhaven MS,391.79296956328295
548,Selma AL,391.3051716751732
549,Ouachita,386.27272845817663
550,Thiel,384.00983814441634
551,Regis CO,392.9884033560303
552,Urbana,384.3453343889162
553,Central Penn,363.6195218026332
554,Limestone,391.64066019225606
555,Caldwell,406.7816142090935
556,Montreat And,368.7363693214257
557,Morrisville St,390.9887208374432
558,Mars Hill,367.3503328953305
559,Trinity IL,392.9892908165338
560,SE Oklahoma,408.42027898044046
561,Iowa Wesleyan,391.7993926787444
562,NW Nazarene,384.410567150731
563,MI Dearborn,392.3126426373785
564,Tusculum,376.7699914195434
565,N New Mexico,383.3980225115846
566,Arlington Bap,391.99156332371865
567,Arkansas-FS,393.5403072909721
568,Mt St Vincent,391.3478749681595
569,Centenary,392.013238323236
570,Mitchell,392.0168439534164
571,Mt Vernon Naz,391.8274018482181
572,Northwest WA,391.8377897321317
573,Central Bap,383.8711537585115
574,Susquehanna,392.6979638491096
575,King TN,391.469818115787
576,Truman St,391.464652334518
577,Milligan,368.6457404211619
578,Ferrum,377.5158033803363
579,Oakland City,366.3860870726888
580,CS Dom. Hills,391.55309352144576
581,St Thomas TX,391.30728338334086
582,Stillman,392.5410634968343
583,Washington MD,392.338742059546
584,Dickinson St ND,391.4809866523101
585,Case Western,391.679819195141
586,Wilberforce,392.1561018210323
587,Concordia MI,386.3868171105932
588,Truett-McConnell,377.38124923764633
589,Bluffton,392.29666842457607
590,Arkansas Tech,385.5170562756829
591,PSU-Beaver,391.1021779453225
592,St Joseph's IN,390.6741426717455
593,Coker,385.47336933051633
594,Goshen,393.4620394933893
595,Ferris St,408.6749155402011
596,Simpson IA,390.9094719642105
597,Lewis-Clark ID,392.64083169224097
598,Lewis & Clark,392.81167351041074
599,Haskell,391.4998329435224
600,Coast Guard,392.93155259775216
601,Northland,385.2497278167099
602,R Morris Spfd,391.361619473312
603,Northwest Chr,391.1481893311421
604,Judson IL,383.0614723869456
605,Midwest TX St,392.9141385530329
606,S Arkansas,392.5834761914508
607,Alice Lloyd,392.2364876138023
608,Capital,391.2006349175461
609,Wentworth Tech,391.3576897286228
610,Quincy,384.48979619113686
611,Ecclesia,376.7048611516385
612,St Catharine,391.37193834084087
613,Concordia AL,406.53830669624585
614,Anderson IN,391.7087459387917
615,Cameron,391.8351171081704
616,Hampden-Sydney,392.0121136340504
617,La Verne,381.35477122273727
618,Cal Maritime,392.8900570152257
