playerID,yearID_x,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID_y,teamID,lgID,salary
counscr01,2001,1,141,458,76,126,22,3,4,38.0,6.0,8.0,61,76.0,3.0,2.0,6.0,6.0,9.0,1970.0,8.0,21.0,USA,IN,South Bend,,,,,,,Craig,Counsell,Craig John,180.0,72.0,L,R,1995-09-17,2011-09-28,counc001,counscr01,2002,ARI,NL,1516667
coxst01,2001,1,108,342,37,88,22,0,12,51.0,2.0,2.0,24,75.0,0.0,10.0,0.0,2.0,11.0,1974.0,10.0,31.0,USA,CA,Delano,,,,,,,Steve,Cox,Charles Steven,225.0,76.0,L,L,1999-09-19,2002-09-25,cox-s001,coxst01,2002,TBA,AL,280000
cruzde01,2001,1,110,414,39,106,28,1,7,52.0,4.0,1.0,17,46.0,0.0,4.0,1.0,2.0,13.0,1972.0,11.0,6.0,D.R.,Peravia,Bani,,,,,,,Deivi,Cruz,Deivi,160.0,71.0,R,R,1997-04-01,2005-10-02,cruzd001,cruzde01,2002,SDN,NL,600000
cruzjo02,2001,1,146,577,92,158,38,4,34,88.0,32.0,5.0,45,138.0,4.0,1.0,2.0,2.0,8.0,1974.0,4.0,19.0,P.R.,,Arroyo,,,,,,,Jose,Cruz,Jose Luis,190.0,72.0,B,R,1997-05-31,2008-06-05,cruzj004,cruzjo02,2002,TOR,AL,3950000
damonjo01,2001,1,155,644,108,165,34,4,9,49.0,27.0,12.0,61,70.0,1.0,5.0,5.0,4.0,7.0,1973.0,11.0,5.0,USA,KS,Fort Riley,,,,,,,Johnny,Damon,Johnny David,205.0,74.0,L,L,1995-08-12,2012-08-01,damoj001,damonjo01,2002,BOS,AL,7250000
daubabr01,2001,1,122,407,54,107,28,3,22,71.0,1.0,0.0,53,108.0,7.0,5.0,1.0,6.0,10.0,1972.0,2.0,11.0,USA,IL,Belleville,,,,,,,Brian,Daubach,Brian Michael,201.0,73.0,L,R,1998-09-10,2005-07-08,daubb001,daubabr01,2002,BOS,AL,2325000
davisbe01,2001,1,138,448,56,107,20,0,11,57.0,4.0,4.0,66,112.0,5.0,4.0,1.0,7.0,13.0,1977.0,3.0,10.0,USA,PA,Chester,,,,,,,Ben,Davis,Mark Christopher,195.0,76.0,B,R,1998-09-25,2004-10-03,davib003,davisbe01,2002,SEA,AL,350000
delgaca01,2001,1,162,574,102,160,31,1,39,102.0,3.0,0.0,111,136.0,22.0,16.0,0.0,3.0,9.0,1972.0,6.0,25.0,P.R.,,Aguadilla,,,,,,,Carlos,Delgado,Carlos Juan,215.0,75.0,L,R,1993-10-01,2009-05-10,delgc001,delgaca01,2002,TOR,AL,19400000
deshide01,4002,3,126,351,55,82,17,5,5,37.0,23.0,2.0,59,77.0,1.0,1.0,4.0,2.0,8.0,1969.0,1.0,15.0,USA,DE,Seaford,,,,,,,Delino,DeShields,Delino Lamont,170.0,73.0,L,R,1990-04-09,2002-08-08,deshd001,deshide01,2002,CHN,NL,1250000
diazei01,2001,1,134,437,54,121,34,1,4,56.0,1.0,2.0,17,44.0,0.0,16.0,8.0,0.0,11.0,1972.0,12.0,28.0,Panama,Chiriqui,Chiriqui,,,,,,,Einar,Diaz,Einar Antonio,165.0,70.0,R,R,1996-09-09,2006-09-16,diaze002,diazei01,2002,CLE,AL,1087500
drewjd01,2001,1,109,375,80,121,18,5,27,73.0,13.0,3.0,57,75.0,4.0,4.0,3.0,4.0,6.0,1975.0,11.0,20.0,USA,FL,Tallahassee,,,,,,,J. D.,Drew,David Jonathan,200.0,73.0,L,R,1998-09-08,2011-09-28,drewj001,drewj.01,2002,SLN,NL,3100000
durhara01,2001,1,152,611,104,163,42,10,20,65.0,23.0,10.0,64,110.0,3.0,4.0,6.0,6.0,10.0,1971.0,11.0,30.0,USA,NC,Charlotte,,,,,,,Ray,Durham,Ray,170.0,68.0,B,R,1995-04-26,2008-09-28,durhr001,durhara01,2002,CHA,AL,6300000
